醫院名稱,縣市,層級,原始回報年薪,底薪,實際計薪月數(新欄位),小夜津貼_單班,全年小夜班數(新欄位),大夜津貼_單班,全年大夜班數(新欄位),年終獎金原文,年終獎金換算結果,其他固定獎金(新欄位),重新計算總額,差額,誤差百分比,驗算狀態,缺少欄位,目前是否仍顯示原始數字,數學不可能警示,__id
林新醫院（南屯）,台中市,區域醫院,640000,,,,,,,,,,,,,unverifiable,底薪（月薪固定收入）；實際計薪月數；全年小夜班數；全年大夜班數；年終獎金換算基準（年終獎金欄位空白（無法判斷是「真的沒有」還是「沒填」））,是（維持顯示原始回報數字，並標示狀態）,,Mti9g0ZktMRqoAYKEJAD
佛教慈濟醫療財團法人花蓮慈濟醫院,花蓮縣,醫學中心,750000,38000,,540,,800,,1.5~2個月,,,,,,unverifiable,實際計薪月數；全年小夜班數；全年大夜班數；年終獎金換算基準（年終獎金文字「1.5~2個月」格式不明確（例如混合月數與績效、或多個條件並列），無法確定唯一換算基準）,是（維持顯示原始回報數字，並標示狀態）,,ORD9dg3QwyNaxaAW20ID
亞東紀念醫院,新北市,醫學中心,,,,500,,700,,,,,,,,no_annual_reported,,—（本來就沒有回報年薪數字）,,OXtotFQpamSQTJxFc4U1
財團法人門諾社會福利慈善事業基金會門諾醫院,花蓮縣,區域醫院,,36400,,500,,700,,約5萬,,,,,,no_annual_reported,,—（本來就沒有回報年薪數字）,,PZSt4gXr1iJEteQMkp7Y
衛生福利部彰化醫院,彰化縣,區域醫院,1100000,45000,,500,,700,,,,,,,,unverifiable,實際計薪月數；全年小夜班數；全年大夜班數；年終獎金換算基準（年終獎金欄位空白（無法判斷是「真的沒有」還是「沒填」））,是（維持顯示原始回報數字，並標示狀態）,,Qkb2wTU0HlqJOVJApb0V
樹林仁愛醫院,新北市,地區醫院,650000,,,,,,,,,,,,,unverifiable,底薪（月薪固定收入）；實際計薪月數；全年小夜班數；全年大夜班數；年終獎金換算基準（年終獎金欄位空白（無法判斷是「真的沒有」還是「沒填」））,是（維持顯示原始回報數字，並標示狀態）,,S7c556Zdzvj0OnFrV2qV
國立臺灣大學醫學院附設醫院雲林分院,雲林縣,區域醫院,,39000,,500,,700,,,,,,,,no_annual_reported,,—（本來就沒有回報年薪數字）,,UQqB8bCcSdc3hARIlFbO
林新醫院（烏日）,台中市,區域醫院,600000,,,,,,,,,,,,,unverifiable,底薪（月薪固定收入）；實際計薪月數；全年小夜班數；全年大夜班數；年終獎金換算基準（年終獎金欄位空白（無法判斷是「真的沒有」還是「沒填」））,是（維持顯示原始回報數字，並標示狀態）,,UiZ0sE3Wy47nFP1P2JrG
義大醫療財團法人義大醫院,高雄市,醫學中心,720000,37000,,500,,800,,,,,,,,unverifiable,實際計薪月數；全年小夜班數；全年大夜班數；年終獎金換算基準（年終獎金欄位空白（無法判斷是「真的沒有」還是「沒填」））,是（維持顯示原始回報數字，並標示狀態）,,VdVUy4zJ8uovpg0Qr4XC
嘉義基督教醫院,嘉義市,區域醫院,710000,38500,,400,,600,,,,,,,,unverifiable,實際計薪月數；全年小夜班數；全年大夜班數；年終獎金換算基準（年終獎金欄位空白（無法判斷是「真的沒有」還是「沒填」））,是（維持顯示原始回報數字，並標示狀態）,,WArTg7R9EDxFDxj35STo
台安醫院,台北市,區域醫院,600000,,,600,,900,,2.5個月全薪(約8萬),,,,,,unverifiable,底薪（月薪固定收入）；實際計薪月數；全年小夜班數；全年大夜班數；年終獎金換算基準（年終獎金文字「2.5個月全薪(約8萬)」格式不明確（例如混合月數與績效、或多個條件並列），無法確定唯一換算基準）,是（維持顯示原始回報數字，並標示狀態）,,WBIs4sIKgPgFxJBv6UUf
南投醫院,南投縣,區域醫院,,35000,,500,,700,,,,,,,,no_annual_reported,,—（本來就沒有回報年薪數字）,,X82M5MpGQZZww77SdnKb
國軍桃園總醫院,桃園市,軍職醫院,1000000,,,500,,700,,1.5個月,,,,,,unverifiable,底薪（月薪固定收入）；實際計薪月數；全年小夜班數；全年大夜班數；年終獎金換算基準（年終獎金為「1.5個月」（月數制），但底薪缺漏，無法換算金額）,是（維持顯示原始回報數字，並標示狀態）,,XUSZRfhP7xw43jxZOqcO
高雄榮民總醫院,高雄市,醫學中心,,,,450,,600,,,,,,,,no_annual_reported,,—（本來就沒有回報年薪數字）,,XhtmzVpp2M2Wp4DGK7Gu
